@relation InstanceResultListener

@attribute Key_Dataset {data/beck-s-abridged}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.bayes.NaiveBayes}
@attribute Key_Scheme_options {''}
@attribute Key_Scheme_version_ID {5995231201785697655}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Area_under_ROC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

data/beck-s-abridged,1,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0324,1709,190,29,161,0,15.263158,84.736842,0,0.117732,0.021411,0.103498,96.785237,98.456406,1100.51892,982.667386,117.851534,5.792205,5.171934,0.620271,162.387016,0.854669,2772.792221,0,0,0,0,1,186,1,4,0,0,0,0.900538,0.152632,0.03493,0.96507,0.847368,0.132053,0.152632,0.080716,0.73912,0.027868,0.152632,0.268,3.79,0.26,3.44,3737099,9012463,1057460,97.368421,70.083732,?
data/beck-s-abridged,1,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0324,1709,190,28,162,0,14.736842,85.263158,0,0.115644,0.021444,0.10344,96.921805,98.386093,1104.511196,996.429454,108.081742,5.813217,5.244366,0.568851,166.98935,0.878891,2852.43283,0,0,0,0,1,186,1,4,0,0,0,0.704973,0.147368,0.031123,0.968877,0.852632,0.136631,0.147368,0.079411,0.722605,0.027093,0.147368,0.182,3.59,0.18,3.38,3737099,9012463,1057460,96.315789,70.143541,?
data/beck-s-abridged,1,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0324,1709,190,32,158,0,16.842105,83.157895,0,0.13487,0.021269,0.102731,96.116951,97.693769,1102.67686,955.623024,147.053836,5.803562,5.029595,0.773968,187.196489,0.985245,3197.061605,0,0,0.016129,3,0.983871,183,1,4,0,0,0,0.783602,0.168421,0.033809,0.966191,0.831579,0.139497,0.168421,0.096108,0.753671,0.04653,0.168421,0.177,3.576,0.18,3.39,3737099,9012463,1057460,97.894737,70.69378,?
data/beck-s-abridged,1,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0324,1709,190,27,163,0,14.210526,85.789474,0,0.105275,0.021333,0.102955,96.413864,97.9164,1101.856238,980.693677,121.162562,5.799243,5.161546,0.637698,181.456775,0.955036,3098.743032,0,0,0,0,1,186,1,4,0,0,0,0.764113,0.142105,0.036834,0.963166,0.857895,0.072485,0.142105,0.080926,0.715654,0.026566,0.142105,0.18,3.617,0.18,3.42,3737099,9012463,1057460,96.315789,70.406699,?
data/beck-s-abridged,1,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0324,1709,190,33,157,0,17.368421,82.631579,0,0.140767,0.021355,0.103164,96.509314,98.109826,1104.624395,982.603114,122.021281,5.813813,5.171595,0.642217,180.219267,0.948522,3078.522158,0,0,0.037634,7,0.962366,179,1,4,0,0,0,0.831989,0.173684,0.032982,0.967018,0.826316,0.171827,0.173684,0.107457,0.727771,0.041855,0.173684,0.164,3.504,0.16,3.36,3737099,9012463,1057460,96.315789,70.861244,?
data/beck-s-abridged,1,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0324,1709,190,32,158,0,16.842105,83.157895,0,0.135991,0.021387,0.10306,96.646599,98.004252,1104.724185,979.817132,124.907053,5.814338,5.156932,0.657406,185.833466,0.978071,3174.428445,0,0,0,0,1,186,1,4,0,0,0,0.834005,0.168421,0.032946,0.967054,0.831579,0.069787,0.168421,0.093499,0.734096,0.035823,0.168421,0.193,3.566,0.19,3.39,3737099,9012463,1057460,96.842105,71.118421,?
data/beck-s-abridged,1,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0324,1709,190,25,165,0,13.157895,86.842105,0,0.09675,0.021505,0.103788,97.188334,98.703199,1106.016717,1001.339268,104.677448,5.821141,5.270207,0.550934,155.915826,0.82061,2663.715843,0,0,0,0,1,186,1,4,0,0,0,0.754032,0.131579,0.034483,0.965517,0.868421,0.041105,0.131579,0.061677,0.73365,0.019682,0.131579,0.209,3.559,0.21,3.39,3737099,9012463,1057460,99.473684,70.382775,?
data/beck-s-abridged,1,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0325,1709,190,24,166,0,12.631579,87.368421,0,0.091092,0.021362,0.103265,96.550003,98.216215,1103.014382,973.2349,129.779482,5.805339,5.122289,0.68305,172.153925,0.906073,2940.248422,0,0,0,0,1,186,1,4,0,0,0,0.808468,0.126316,0.034855,0.965145,0.873684,0.141188,0.126316,0.074853,0.751646,0.024875,0.126316,0.166,3.569,0.16,3.42,3737099,9012463,1057460,98.421053,70.538278,?
data/beck-s-abridged,1,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0325,1709,190,25,165,0,13.157895,86.842105,0,0.096464,0.021461,0.103836,96.995763,98.759435,1103.511459,993.460821,110.050638,5.807955,5.228741,0.579214,173.652252,0.913959,2965.987607,0,0,0,0,1,186,1,4,0,0,0,0.752688,0.131579,0.035766,0.964234,0.868421,0.049179,0.131579,0.064922,0.73078,0.025822,0.131579,0.165,3.555,0.16,3.4,3737099,9012463,1057460,96.842105,70.388756,?
data/beck-s-abridged,1,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0325,1710,189,21,168,0,11.111111,88.888889,0,0.075337,0.021556,0.103921,97.432577,98.848281,1096.431911,1006.746576,89.685335,5.801227,5.326701,0.474526,158.373711,0.837956,2704.703915,0,0,0,0,1,185,1,4,0,0,0,0.791892,0.111111,0.035827,0.964173,0.888889,0.042473,0.111111,0.058714,0.714091,0.021383,0.111111,0.166,3.513,0.17,3.35,3737099,9017700,1052223,96.296296,70.899471,?
data/beck-s-abridged,2,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0325,1709,190,33,157,0,17.368421,82.631579,0,0.139155,0.021287,0.1027,96.245457,97.717553,1098.117186,950.481933,147.635253,5.779564,5.002536,0.777028,191.404549,1.007392,3267.549525,0,0,0,0,1,186,1,4,0,0,0,0.811156,0.173684,0.034387,0.965613,0.826316,0.160018,0.173684,0.108012,0.74375,0.036431,0.173684,0.177,3.596,0.17,3.43,3737099,9012463,1057460,94.736842,70.167464,?
data/beck-s-abridged,2,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0325,1709,190,30,160,0,15.789474,84.210526,0,0.122832,0.021394,0.10355,96.734315,98.5316,1097.106254,992.844537,104.261717,5.774243,5.225498,0.548746,179.385398,0.944134,3062.057813,0,0,0,0,1,186,1,4,0,0,0,0.728495,0.157895,0.035326,0.964674,0.842105,0.068701,0.157895,0.083219,0.722091,0.03347,0.157895,0.18,3.566,0.17,3.45,3737099,9012463,1057460,97.894737,70.962919,?
data/beck-s-abridged,2,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0325,1709,190,31,159,0,16.315789,83.684211,0,0.128088,0.021362,0.103281,96.55045,98.232891,1100.412302,975.312085,125.100217,5.791644,5.133221,0.658422,181.648367,0.956044,3101.658617,0,0,0,0,1,186,1,4,0,0,0,0.78629,0.163158,0.034775,0.965225,0.836842,0.077233,0.163158,0.082586,0.742119,0.029788,0.163158,0.167,3.565,0.16,3.41,3737099,9012463,1057460,98.421053,70.986842,?
data/beck-s-abridged,2,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0325,1709,190,25,165,0,13.157895,86.842105,0,0.095786,0.021416,0.103318,96.764881,98.232,1107.570992,994.442669,113.128322,5.829321,5.233909,0.595412,175.720491,0.924845,3002.510279,0,0,0,0,1,186,1,4,0,0,0,0.900538,0.131579,0.036039,0.963961,0.868421,0.063349,0.131579,0.078958,0.716196,0.029599,0.131579,0.254,3.618,0.18,3.5,3737099,9012463,1057460,96.842105,70.741627,?
data/beck-s-abridged,2,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0325,1709,190,24,166,0,12.631579,87.368421,0,0.092714,0.021519,0.103696,97.204882,98.567589,1109.963809,1011.87395,98.089859,5.841915,5.325652,0.516262,155.76179,0.819799,2662.025526,0,0,0,0,1,186,1,4,0,0,0,0.642473,0.126316,0.032942,0.967058,0.873684,0.119108,0.126316,0.063764,0.714191,0.019601,0.126316,0.17,3.621,0.16,3.44,3737099,9012463,1057460,96.842105,70.269139,?
data/beck-s-abridged,2,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0325,1709,190,28,162,0,14.736842,85.263158,0,0.114347,0.021359,0.102963,96.478273,97.863038,1110.199185,980.293263,129.905922,5.843154,5.159438,0.683715,180.648918,0.950784,3087.393296,0,0,0,0,1,186,1,4,0,0,0,0.701613,0.147368,0.033027,0.966973,0.852632,0.129685,0.147368,0.076902,0.737403,0.028102,0.147368,0.171,3.635,0.18,3.45,3737099,9012463,1057460,95.263158,70.059809,?
data/beck-s-abridged,2,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0325,1709,190,29,161,0,15.263158,84.736842,0,0.121103,0.021509,0.103934,97.208953,98.84525,1104.212862,993.985451,110.227412,5.811647,5.231502,0.580144,164.937062,0.86809,2817.26621,0,0,0,0,1,186,1,4,0,0,0,0.777554,0.152632,0.031715,0.968285,0.847368,0.051356,0.152632,0.073887,0.740292,0.02862,0.152632,0.17,3.492,0.16,3.36,3737099,9012463,1057460,98.947368,71.202153,?
data/beck-s-abridged,2,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0325,1709,190,29,161,0,15.263158,84.736842,0,0.118825,0.021403,0.103267,96.742798,98.226719,1103.713526,990.259306,113.45422,5.809019,5.211891,0.597127,170.86184,0.899273,2918.32361,0,0,0,0,1,186,1,4,0,0,0,0.827285,0.152632,0.034119,0.965881,0.847368,0.068443,0.152632,0.086613,0.724254,0.033521,0.152632,0.171,3.573,0.17,3.4,3737099,9012463,1057460,96.315789,71.004785,?
data/beck-s-abridged,2,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130416.0325,1709,190,24,166,0,12.631579,87.368421,0,0.091799,0.021439,0.103649,96.913149,98.597689,1102.296232,1008.818224,93.478008,5.801559,5.30957,0.49199,156.381981,0.823063,2670.740732,0,0,0,0,1,186,1,4,0,0,0,0.735215,0.126316,0.034777,0.965223,0.873684,0.053675,0.126316,0.070401,0.721989,0.026654,0.126316,0.179,3.65,0.18,3.47,3737099,9012463,1057460,95.263158,70.478469,?
