@relation InstanceResultListener

@attribute Key_Dataset {data/beck-s}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2}
@attribute Key_Scheme {weka.classifiers.bayes.NaiveBayes}
@attribute Key_Scheme_options {''}
@attribute Key_Scheme_version_ID {5995231201785697655}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

data/beck-s,1,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.005,972,972,399,573,0,41.049383,58.950617,0,0.393954,0.011777,0.107824,60.368416,109.250169,5746.987159,309871.032786,-304124.045627,5.912538,318.797359,-312.884821,2235.285546,2.299676,37059.93774,0.35,7,0.021008,20,0.978992,932,0.65,13,0.259259,0.35,0.297872,0.284198,0.762841,0.217892,0.410494,0.015649,0.984351,0.589506,0.456442,0.410494,0.409127,0.406043,0.801661,0.344157,0.32065,0.410494,0.25,54.796,0.23,54.43,12578913,15248440,15248440,41.666667,1.047325,?
data/beck-s,1,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0051,972,972,386,586,0,39.711934,60.288066,0,0.378273,0.012076,0.109422,61.900661,110.863936,5753.252888,323698.474492,-317945.221604,5.918984,333.023122,-327.104137,2123.609941,2.184784,35249.159529,0.3,6,0.016807,16,0.983193,936,0.7,14,0.272727,0.3,0.285714,0.270298,0.895641,0.21212,0.397119,0.018719,0.981281,0.602881,0.43935,0.397119,0.393443,0.389683,0.7889,0.328178,0.308042,0.397119,0.215,54.984,0.22,54.63,12578913,15248440,15248440,39.814815,1.038066,?
data/beck-s,2,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0052,972,972,390,582,0,40.123457,59.876543,0,0.384168,0.011951,0.108565,61.256977,110.00081,5749.261191,319876.734017,-314127.472826,5.914878,329.09129,-323.176412,2230.903395,2.295168,37005.290505,0.4,8,0.019958,19,0.980042,933,0.6,12,0.296296,0.4,0.340426,0.328297,0.875368,0.206702,0.401235,0.017213,0.982787,0.598765,0.455429,0.401235,0.403649,0.39973,0.796288,0.350307,0.326696,0.401235,0.235,55.06,0.24,54.72,12578913,15248440,15248440,41.152263,1.046296,?
data/beck-s,2,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0053,972,972,383,589,0,39.403292,60.596708,0,0.376211,0.012106,0.109553,62.055779,110.996923,5750.978855,298875.084137,-293124.105282,5.916645,307.484654,-301.56801,2120.033446,2.181104,35172.659618,0.2,4,0.016807,16,0.983193,936,0.8,16,0.2,0.2,0.2,0.183193,0.820221,0.165547,0.394033,0.017156,0.982844,0.605967,0.42975,0.394033,0.390193,0.385213,0.808518,0.344844,0.286279,0.394033,0.225,54.91,0.23,54.55,12578913,15248440,15248440,39.814815,1.028807,?
data/beck-s,3,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0054,972,972,406,566,0,41.769547,58.230453,0,0.400238,0.011651,0.107381,59.71906,108.796932,5750.646446,314725.397817,-308974.751372,5.916303,323.791562,-317.875259,2262.746101,2.327928,37539.342112,0.45,9,0.02521,24,0.97479,928,0.55,11,0.272727,0.45,0.339623,0.33298,0.887185,0.213902,0.417695,0.017349,0.982651,0.582305,0.46765,0.417695,0.420802,0.416323,0.7981,0.353628,0.339972,0.417695,0.216,54.272,0.21,53.93,12578913,15248440,15248440,41.975309,1.034979,?
data/beck-s,3,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0055,972,972,353,619,0,36.316872,63.683128,0,0.344449,0.012749,0.112356,65.348687,113.841263,5749.593601,338623.970418,-332874.376817,5.91522,348.37857,-342.463351,1963.786378,2.020356,32575.340185,0.3,6,0.015756,15,0.984244,937,0.7,14,0.285714,0.3,0.292683,0.277539,0.812658,0.201522,0.363169,0.018565,0.981435,0.636831,0.423161,0.363169,0.359141,0.358187,0.782302,0.308503,0.293609,0.363169,0.223,54.394,0.22,54.09,12578913,15248440,15248440,36.419753,1.034979,?
data/beck-s,4,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0056,972,972,399,573,0,41.049383,58.950617,0,0.392967,0.011797,0.108178,60.468884,109.604755,5751.812047,305778.889288,-300027.07724,5.917502,314.587335,-308.669833,2195.928803,2.259186,36439.652886,0.35,7,0.028361,27,0.971639,925,0.65,13,0.205882,0.35,0.259259,0.24852,0.806749,0.213171,0.410494,0.017044,0.982956,0.589506,0.459256,0.410494,0.412146,0.408372,0.805135,0.356336,0.295922,0.410494,0.217,54.546,0.22,54.19,12578913,15248440,15248440,41.460905,1.026749,?
data/beck-s,4,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0057,972,972,386,586,0,39.711934,60.288066,0,0.380406,0.012062,0.109115,61.826209,110.556599,5748.427999,326271.653056,-320523.225057,5.914021,335.670425,-329.756404,2173.91903,2.236542,36052.299948,0.15,3,0.02416,23,0.97584,929,0.85,17,0.115385,0.15,0.130435,0.110719,0.782537,0.089662,0.397119,0.016314,0.983686,0.602881,0.445433,0.397119,0.397589,0.393434,0.7943,0.350663,0.315994,0.397119,0.22,54.333,0.22,53.95,12578913,15248440,15248440,40.123457,1.050412,?
data/beck-s,5,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0058,972,972,395,577,0,40.63786,59.36214,0,0.388316,0.011896,0.108491,60.97877,109.925522,5748.281606,314287.22072,-308538.939114,5.91387,323.340762,-317.426892,2174.307628,2.236942,36058.197148,0.25,5,0.009454,9,0.990546,943,0.75,15,0.357143,0.25,0.294118,0.286606,0.867279,0.22649,0.406379,0.017903,0.982097,0.593621,0.446214,0.406379,0.403119,0.398862,0.802704,0.341489,0.300784,0.406379,0.223,54.312,0.22,53.93,12578913,15248440,15248440,40.63786,1.037037,?
