@relation InstanceResultListener

@attribute Key_Dataset {data/beck-s}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2}
@attribute Key_Scheme {weka.classifiers.bayes.NaiveBayes}
@attribute Key_Scheme_options {''}
@attribute Key_Scheme_version_ID {5995231201785697655}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

data/beck-s,1,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0008,972,972,403,569,0,41.460905,58.539095,0,0.398256,0.011691,0.107404,59.924341,108.824767,5746.987159,300146.128776,-294399.141618,5.912538,308.792314,-302.879775,2281.38322,2.347102,37824.214552,0.3,6,0.018908,18,0.981092,934,0.7,14,0.25,0.3,0.272727,0.257142,0.786607,0.193292,0.414609,0.015878,0.984122,0.585391,0.457534,0.414609,0.411943,0.408584,0.808384,0.355425,0.32586,0.414609,0.385,55.51,0.38,54.96,12579518,15249045,15249045,42.18107,1.047325,?
data/beck-s,1,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0009,972,972,397,575,0,40.843621,59.156379,0,0.390229,0.011805,0.108004,60.51024,109.427466,5753.252888,311249.860119,-305496.607231,5.918984,320.215905,-314.296921,2213.170471,2.276924,36735.747695,0.4,8,0.014706,14,0.985294,938,0.6,12,0.363636,0.4,0.380952,0.36775,0.896534,0.24399,0.408436,0.018068,0.981932,0.591564,0.445894,0.408436,0.404416,0.399827,0.798389,0.344131,0.323211,0.408436,0.229,55.112,0.23,54.71,12579518,15249045,15249045,41.460905,1.037037,?
data/beck-s,2,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.001,972,972,404,568,0,41.563786,58.436214,0,0.399209,0.011706,0.107633,60.001146,109.056118,5749.261191,304942.557489,-299193.296298,5.914878,313.726911,-307.812033,2300.087754,2.366345,38152.891652,0.45,9,0.017857,17,0.982143,935,0.55,11,0.346154,0.45,0.391304,0.380214,0.918697,0.294782,0.415638,0.016775,0.983225,0.584362,0.463015,0.415638,0.41587,0.411615,0.807641,0.363117,0.336672,0.415638,0.224,55.732,0.23,55.32,12579518,15249045,15249045,41.769547,1.039095,?
data/beck-s,2,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0011,972,972,404,568,0,41.563786,58.436214,0,0.398438,0.0117,0.107699,59.974678,109.118009,5750.978855,290840.704834,-285089.725979,5.916645,299.218832,-293.302187,2229.661652,2.293891,36991.459033,0.2,4,0.016807,16,0.983193,936,0.8,16,0.2,0.2,0.2,0.183193,0.822033,0.148897,0.415638,0.016656,0.983344,0.584362,0.453924,0.415638,0.412589,0.408376,0.814616,0.363416,0.302502,0.415638,0.237,55.88,0.24,55.46,12579518,15249045,15249045,41.666667,1.028807,?
data/beck-s,3,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0012,972,972,415,557,0,42.695473,57.304527,0,0.410122,0.011442,0.10648,58.648356,107.883892,5750.646446,296596.011094,-290845.364649,5.916303,305.139929,-299.223626,2333.651634,2.400876,38715.676958,0.45,9,0.022059,21,0.977941,931,0.55,11,0.3,0.45,0.36,0.351262,0.920404,0.251849,0.426955,0.016742,0.983258,0.573045,0.467927,0.426955,0.428997,0.423023,0.811334,0.364915,0.345085,0.426955,0.257,55.408,0.26,55.09,12579518,15249045,15249045,43.312757,1.033951,?
data/beck-s,3,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0013,972,972,369,603,0,37.962963,62.037037,0,0.361608,0.012398,0.110906,63.552458,112.372052,5749.593601,327848.481091,-322098.88749,5.91522,337.292676,-331.377456,2076.909267,2.136738,34451.825649,0.25,5,0.015756,15,0.984244,937,0.75,15,0.25,0.25,0.25,0.234244,0.80365,0.213936,0.37963,0.01802,0.98198,0.62037,0.442061,0.37963,0.37635,0.375933,0.790837,0.321451,0.3112,0.37963,0.237,56.348,0.23,55.99,12579518,15249045,15249045,38.374486,1.032922,?
data/beck-s,4,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0014,972,972,418,554,0,43.004115,56.995885,0,0.413034,0.011407,0.106244,58.470205,107.645693,5751.812047,290725.389922,-284973.577875,5.917502,299.100195,-293.182693,2312.997358,2.379627,38382.310351,0.35,7,0.030462,29,0.969538,923,0.65,13,0.194444,0.35,0.25,0.240196,0.82563,0.235095,0.430041,0.016572,0.983428,0.569959,0.482599,0.430041,0.43311,0.430033,0.815108,0.380666,0.316968,0.430041,0.219,55.476,0.22,54.95,12579518,15249045,15249045,43.518519,1.036008,?
data/beck-s,4,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0015,972,972,403,569,0,41.460905,58.539095,0,0.398622,0.011714,0.107602,60.045168,109.023409,5748.427999,315346.664645,-309598.236646,5.914021,324.430725,-318.516704,2286.545303,2.352413,37920.095461,0.15,3,0.023109,22,0.976891,930,0.85,17,0.12,0.15,0.133333,0.113794,0.798267,0.10713,0.414609,0.01568,0.98432,0.585391,0.459976,0.414609,0.414005,0.410192,0.801447,0.370191,0.34363,0.414609,0.219,55.731,0.22,55.3,12579518,15249045,15249045,41.872428,1.041152,?
data/beck-s,5,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0016,972,972,403,569,0,41.460905,58.539095,0,0.396913,0.011701,0.107654,59.979636,109.077039,5748.281606,302845.755506,-297097.473899,5.91387,311.569707,-305.655837,2227.98284,2.292163,36948.334013,0.35,7,0.008403,8,0.991597,944,0.65,13,0.466667,0.35,0.4,0.39341,0.895378,0.348746,0.414609,0.017435,0.982565,0.585391,0.455686,0.414609,0.411855,0.408092,0.810718,0.347016,0.305242,0.414609,0.233,57.144,0.23,56.71,12579518,15249045,15249045,41.666667,1.033951,?
