@relation InstanceResultListener

@attribute Key_Dataset {data/beck-s}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5}
@attribute Key_Scheme {weka.classifiers.bayes.NaiveBayes}
@attribute Key_Scheme_options {''}
@attribute Key_Scheme_version_ID {5995231201785697655}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

data/beck-s,1,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0506,1555,389,171,218,0,43.958869,56.041131,0,0.419276,0.011223,0.100945,57.56007,102.285364,2299.636723,9700.701471,-7401.064748,5.911663,24.937536,-19.025873,947.746579,2.436367,15830.57074,0.375,3,0.007874,3,0.992126,378,0.625,5,0.5,0.375,0.428571,0.422812,0.895669,0.35287,0.439589,0.021516,0.978484,0.560411,0.424663,0.439589,0.396817,0.399251,0.913654,0.502765,0.240351,0.439589,0.094,0.956,0.09,0.95,4025958,9830798,2558456,48.843188,1.385604,?
data/beck-s,1,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0506,1555,389,176,213,0,45.244216,54.755784,0,0.432125,0.011087,0.099574,56.87659,100.924399,2289.759217,9780.988908,-7491.229691,5.88627,25.14393,-19.25766,962.969527,2.4755,16069.278538,0.5,4,0.099738,38,0.900262,343,0.5,4,0.095238,0.5,0.16,0.183047,0.788386,0.435499,0.452442,0.021157,0.978843,0.547558,0.447105,0.452442,0.418093,0.419375,0.905968,0.516733,0.260822,0.452442,0.064,0.876,0.07,0.86,4025958,9830798,2558456,49.100257,1.416452,?
data/beck-s,1,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0506,1555,389,193,196,0,49.614396,50.385604,0,0.479652,0.010074,0.094885,51.665657,96.141546,2300.995957,9303.613635,-7002.617678,5.915157,23.916745,-18.001588,1080.168031,2.776782,18046.195053,0.625,5,0.015748,6,0.984252,375,0.375,3,0.454545,0.625,0.526316,0.52163,0.980315,0.636542,0.496144,0.015638,0.984362,0.503856,0.464464,0.496144,0.45331,0.455169,0.914715,0.570267,0.27065,0.496144,0.05,0.884,0.05,0.88,4025958,9830798,2558456,54.241645,1.401028,?
data/beck-s,1,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0506,1555,389,176,213,0,45.244216,54.755784,0,0.434578,0.011009,0.098993,56.450782,100.285325,2307.630455,9382.386673,-7074.756218,5.932212,24.119246,-18.187034,960.318952,2.468686,16054.636988,0.5,4,0.018373,7,0.981627,374,0.5,4,0.363636,0.5,0.421053,0.41236,0.876969,0.32,0.452442,0.016524,0.983476,0.547558,0.4266,0.452442,0.409159,0.412166,0.907408,0.529142,0.209467,0.452442,0.052,0.872,0.05,0.86,4025958,9830798,2558456,50.385604,1.465296,?
data/beck-s,1,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0506,1556,388,174,214,0,44.845361,55.154639,0,0.427626,0.010967,0.100419,56.23733,101.72989,2298.246269,9952.710622,-7654.464353,5.923315,25.651316,-19.728001,965.822646,2.489234,16140.35849,0.625,5,0.010526,4,0.989474,376,0.375,3,0.555556,0.625,0.588235,0.580095,0.993092,0.813631,0.448454,0.022651,0.977349,0.551546,0.443108,0.448454,0.416838,0.415862,0.913606,0.532749,0.246835,0.448454,0.047,0.875,0.04,0.88,4025958,9837035,2552219,49.484536,1.322165,?
data/beck-s,2,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0506,1555,389,193,196,0,49.614396,50.385604,0,0.478095,0.010171,0.095593,52.179018,96.892738,2291.515764,9700.037472,-7408.521708,5.890786,24.935829,-19.045043,1049.468105,2.697861,17516.383891,0.875,7,0.044619,17,0.955381,364,0.125,1,0.291667,0.875,0.4375,0.489816,0.969488,0.559741,0.496144,0.017824,0.982176,0.503856,0.477046,0.496144,0.452007,0.45673,0.915827,0.554273,0.245116,0.496144,0.062,0.888,0.06,0.88,4025958,9830798,2558456,52.956298,1.380463,?
data/beck-s,2,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0506,1555,389,175,214,0,44.987147,55.012853,0,0.431046,0.011106,0.099705,56.959212,101.027038,2298.765525,9632.564559,-7333.799034,5.909423,24.762377,-18.852954,961.457705,2.471614,16058.034537,0.5,4,0.028871,11,0.971129,370,0.5,4,0.266667,0.5,0.347826,0.347269,0.823491,0.547144,0.449871,0.019456,0.980544,0.550129,0.471817,0.449871,0.414196,0.422518,0.913233,0.533308,0.271683,0.449871,0.048,0.87,0.05,0.87,4025958,9830798,2558456,49.100257,1.424165,?
data/beck-s,2,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0506,1555,389,190,199,0,48.843188,51.156812,0,0.469599,0.010285,0.095342,52.743854,96.598063,2301.354294,8516.785428,-6215.431134,5.916078,21.89405,-15.977972,1064.722213,2.737075,17788.45743,0.625,5,0.018373,7,0.981627,374,0.375,3,0.416667,0.625,0.5,0.49793,0.963255,0.574728,0.488432,0.019864,0.980136,0.511568,0.478329,0.488432,0.454148,0.455324,0.922193,0.56117,0.268093,0.488432,0.052,0.867,0.05,0.87,4025958,9830798,2558456,55.269923,1.434447,?
data/beck-s,2,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0506,1555,389,187,202,0,48.071979,51.928021,0,0.461806,0.010472,0.096547,53.695244,97.796559,2310.572504,10152.500339,-7841.927835,5.939775,26.098973,-20.159198,1027.716451,2.641945,17186.29211,0.5,4,0.020997,8,0.979003,373,0.5,4,0.333333,0.5,0.4,0.393173,0.838583,0.418386,0.48072,0.020133,0.979867,0.51928,0.436732,0.48072,0.423948,0.427931,0.907975,0.526697,0.252875,0.48072,0.047,0.875,0.05,0.87,4025958,9830798,2558456,52.18509,1.457584,?
