@relation InstanceResultListener

@attribute Key_Dataset {data/beck-s}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.bayes.NaiveBayes}
@attribute Key_Scheme_options {''}
@attribute Key_Scheme_version_ID {5995231201785697655}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

data/beck-s,1,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0704,1749,195,80,115,0,41.025641,58.974359,0,0.397242,0.011804,0.107952,60.543539,109.385299,1150.644765,42060.350952,-40909.706187,5.900742,215.694107,-209.793365,467.484858,2.397358,7817.394908,0,0,0.005236,1,0.994764,190,1,4,0,0,0,-0.01039,0.825916,0.07668,0.410256,0.010816,0.989184,0.589744,0.421205,0.410256,0.395541,0.393207,0.843938,0.438774,0.338818,0.410256,0.305,4.289,0.31,4.1,5048000,10980482,1288184,42.051282,1.046154,?
data/beck-s,1,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0704,1749,195,85,110,0,43.589744,56.410256,0,0.423635,0.011286,0.105311,57.90658,106.747667,1147.495128,41899.980993,-40752.485864,5.88459,214.871697,-208.987107,485.282736,2.488629,8112.874686,0.5,2,0.010471,2,0.989529,189,0.5,2,0.5,0.5,0.5,0.489529,0.926047,0.356061,0.435897,0.009475,0.990525,0.564103,0.500178,0.435897,0.435286,0.439725,0.839642,0.452116,0.355063,0.435897,0.192,4.104,0.19,4.07,5048000,10980482,1288184,44.102564,1.061538,?
data/beck-s,1,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0704,1749,195,95,100,0,48.717949,51.282051,0,0.476622,0.010269,0.100405,52.678334,101.747526,1153.610323,36687.061872,-35533.451549,5.91595,188.138779,-182.222828,566.430908,2.904774,9474.794757,1,4,0.015707,3,0.984293,188,0,0,0.571429,1,0.727273,0.749969,0.996728,0.7625,0.487179,0.0089,0.9911,0.512821,0.540881,0.487179,0.488052,0.489736,0.873304,0.537978,0.42085,0.487179,0.158,4.061,0.16,4.03,5048000,10980482,1288184,49.74359,1.05641,?
data/beck-s,1,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0704,1749,195,78,117,0,40,60,0,0.386331,0.011982,0.108255,61.448929,109.676452,1158.177739,36256.526257,-35098.348518,5.939373,185.930904,-179.991531,449.414122,2.304688,7520.633006,0,0,0.026178,5,0.973822,186,1,4,0,0,0,-0.023476,0.907068,0.119553,0.4,0.010851,0.989149,0.6,0.428907,0.4,0.391322,0.390414,0.860143,0.457282,0.290831,0.4,0.155,4.079,0.16,4.04,5048000,10980482,1288184,41.538462,1.082051,?
data/beck-s,1,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0704,1750,194,88,106,0,45.360825,54.639175,0,0.440709,0.010955,0.103387,56.186316,104.751298,1149.417481,35824.218792,-34674.801311,5.924832,184.660922,-178.736089,501.066944,2.582819,8383.125458,0.75,3,0.015789,3,0.984211,187,0.25,1,0.5,0.75,0.6,0.602661,0.977632,0.797619,0.453608,0.010743,0.989257,0.546392,0.539188,0.453608,0.470506,0.471483,0.868859,0.524706,0.36822,0.453608,0.16,4.056,0.16,4.02,5048000,10986719,1281947,45.360825,1.087629,?
data/beck-s,1,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0704,1750,194,74,120,0,38.14433,61.85567,0,0.367323,0.012288,0.109705,63.028915,111.159389,1151.791261,44446.846743,-43295.055483,5.937068,229.107457,-223.170389,424.49591,2.188123,7103.564128,0.5,2,0.026316,5,0.973684,185,0.5,2,0.285714,0.5,0.363636,0.360932,0.957237,0.396886,0.381443,0.012034,0.987966,0.618557,0.450558,0.381443,0.389037,0.388823,0.823228,0.434209,0.280515,0.381443,0.158,4.037,0.16,4.02,5048000,10986719,1281947,40.206186,1.092784,?
data/beck-s,1,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0705,1750,194,71,123,0,36.597938,63.402062,0,0.351153,0.012639,0.111035,64.838075,112.527321,1145.647744,39965.999107,-38820.351363,5.905401,206.010305,-200.104904,419.670602,2.163251,7018.740925,0.25,1,0.036842,7,0.963158,183,0.75,3,0.125,0.25,0.166667,0.152337,0.545395,0.145113,0.365979,0.013851,0.986149,0.634021,0.408079,0.365979,0.361071,0.358061,0.832748,0.406269,0.311561,0.365979,0.16,4.024,0.16,3.99,5048000,10986719,1281947,38.14433,1.103093,?
data/beck-s,1,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0705,1750,194,92,102,0,47.42268,52.57732,0,0.462589,0.0105,0.101786,53.845197,103.11624,1151.600992,41181.44604,-40029.845049,5.936088,212.275495,-206.339407,539.143565,2.779091,9021.623723,0.5,2,0.026316,5,0.973684,185,0.5,2,0.285714,0.5,0.363636,0.360932,0.948684,0.430927,0.474227,0.009024,0.990976,0.525773,0.521564,0.474227,0.473626,0.474887,0.85056,0.492615,0.394661,0.474227,0.156,4.025,0.15,4.01,5048000,10986719,1281947,48.453608,1.041237,?
data/beck-s,1,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0705,1750,194,88,106,0,45.360825,54.639175,0,0.441863,0.010957,0.103923,56.184995,105.265818,1153.832222,39384.434024,-38230.601802,5.947589,203.012547,-197.064958,521.409701,2.687679,8726.454858,0.75,3,0,0,1,190,0.25,1,1,0.75,0.857143,0.863755,0.959211,0.778571,0.453608,0.009339,0.990661,0.546392,0.525043,0.453608,0.456237,0.461305,0.856248,0.509147,0.414975,0.453608,0.155,4.076,0.15,4.05,5048000,10986719,1281947,45.876289,1.041237,?
data/beck-s,1,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0705,1750,194,69,125,0,35.56701,64.43299,0,0.340603,0.012972,0.1126,66.510768,114.048591,1151.657499,44211.39115,-43059.733651,5.936379,227.893769,-221.95739,385.363957,1.986412,6448.327837,0,0,0.026316,5,0.973684,185,1,4,0,0,0,-0.0236,0.826316,0.070711,0.35567,0.012687,0.987313,0.64433,0.40773,0.35567,0.359959,0.357517,0.828547,0.408403,0.263691,0.35567,0.16,4.049,0.16,4.02,5048000,10986719,1281947,36.082474,1.097938,?
data/beck-s,2,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0705,1749,195,87,108,0,44.615385,55.384615,0,0.433124,0.010975,0.103917,56.298663,105.311139,1151.620191,31718.066761,-30566.44657,5.905745,162.656753,-156.751008,517.160331,2.652104,8649.232421,0.5,2,0.026178,5,0.973822,186,0.5,2,0.285714,0.5,0.363636,0.361022,0.905759,0.316789,0.446154,0.01194,0.98806,0.553846,0.498871,0.446154,0.446613,0.446018,0.88265,0.505834,0.370688,0.446154,0.155,4.063,0.16,4.04,5048000,10980482,1288184,46.666667,1.046154,?
data/beck-s,2,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0705,1749,195,82,113,0,42.051282,57.948718,0,0.409471,0.011498,0.105614,58.975175,107.009489,1152.048742,38682.775,-37530.726259,5.907942,198.373205,-192.465263,494.976996,2.538344,8278.642032,0.25,1,0.005236,1,0.994764,190,0.75,3,0.5,0.25,0.333333,0.344351,0.73822,0.304671,0.420513,0.009035,0.990965,0.579487,0.514607,0.420513,0.427005,0.434843,0.8486,0.469536,0.367778,0.420513,0.154,4.069,0.15,4.04,5048000,10980482,1288184,43.589744,1.107692,?
data/beck-s,2,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0705,1749,195,87,108,0,44.615385,55.384615,0,0.434236,0.011106,0.104382,56.954564,105.741795,1157.762936,35657.283676,-34499.52074,5.937246,182.857865,-176.920619,514.215533,2.637003,8604.760677,0.5,2,0.010471,2,0.989529,189,0.5,2,0.5,0.5,0.5,0.489529,0.937173,0.502976,0.446154,0.011017,0.988983,0.553846,0.489485,0.446154,0.439934,0.44094,0.869558,0.488628,0.381935,0.446154,0.154,4.099,0.15,4.07,5048000,10980482,1288184,45.128205,1.071795,?
data/beck-s,2,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0705,1749,195,78,117,0,40,60,0,0.386941,0.011988,0.108364,61.466194,109.757093,1162.711843,40519.782565,-39357.070722,5.962625,207.793757,-201.831132,440.68097,2.259902,7377.539586,0.25,1,0.005236,1,0.994764,190,0.75,3,0.5,0.25,0.333333,0.344351,0.874346,0.365493,0.4,0.010135,0.989865,0.6,0.459145,0.4,0.415091,0.410923,0.840836,0.430891,0.316285,0.4,0.154,4.061,0.16,4.03,5048000,10980482,1288184,41.025641,1.082051,?
data/beck-s,2,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0705,1750,194,76,118,0,39.175258,60.824742,0,0.378661,0.01213,0.108895,62.229871,110.368286,1146.155145,42227.99739,-41081.842246,5.908016,217.67009,-211.762073,456.087657,2.350967,7628.101294,0,0,0.005263,1,0.994737,189,1,4,0,0,0,-0.010444,0.859211,0.082326,0.391753,0.011205,0.988795,0.608247,0.447791,0.391753,0.392249,0.392228,0.83564,0.466219,0.348617,0.391753,0.154,4.029,0.15,4.01,5048000,10986719,1281947,40.721649,1.092784,?
data/beck-s,2,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0705,1750,194,84,110,0,43.298969,56.701031,0,0.420298,0.011369,0.105349,58.340359,106.798139,1143.520249,38323.715689,-37180.19544,5.894434,197.544926,-191.650492,474.803819,2.447442,7939.230685,0.5,2,0.031579,6,0.968421,184,0.5,2,0.25,0.5,0.333333,0.334766,0.848684,0.279286,0.43299,0.009738,0.990262,0.56701,0.507101,0.43299,0.440203,0.44326,0.855319,0.495597,0.335062,0.43299,0.157,4.051,0.16,4.02,5048000,10986719,1281947,43.814433,1.082474,?
data/beck-s,2,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0705,1750,194,82,112,0,42.268041,57.731959,0,0.408746,0.011557,0.106942,59.276704,108.36233,1149.353017,41593.735544,-40444.382527,5.9245,214.400699,-208.476199,468.658967,2.415768,7840.415363,0.75,3,0.031579,6,0.968421,184,0.25,1,0.333333,0.75,0.461538,0.485376,0.985526,0.816667,0.42268,0.01162,0.98838,0.57732,0.495545,0.42268,0.422481,0.427176,0.845699,0.475856,0.363461,0.42268,0.154,4.049,0.16,4.03,5048000,10986719,1281947,42.783505,1.046392,?
data/beck-s,2,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0705,1750,194,78,116,0,40.206186,59.793814,0,0.38768,0.012001,0.108895,61.554881,110.342476,1147.321699,43248.383682,-42101.061983,5.914029,222.929813,-217.015783,432.088763,2.227262,7227.377798,0.25,1,0.010526,2,0.989474,188,0.75,3,0.333333,0.25,0.285714,0.275796,0.930263,0.36564,0.402062,0.01103,0.98897,0.597938,0.47967,0.402062,0.4097,0.412304,0.841239,0.454606,0.304725,0.402062,0.155,4.049,0.16,4.02,5048000,10986719,1281947,40.721649,1.046392,?
data/beck-s,2,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0705,1750,194,86,108,0,44.329897,55.670103,0,0.430126,0.011141,0.104283,57.126928,105.634682,1152.245847,40364.695369,-39212.449522,5.939412,208.06544,-202.126028,501.555205,2.585336,8392.848416,0.75,3,0.042105,8,0.957895,182,0.25,1,0.272727,0.75,0.4,0.434964,0.984211,0.541667,0.443299,0.011668,0.988332,0.556701,0.506826,0.443299,0.442447,0.445698,0.849577,0.483708,0.375605,0.443299,0.153,4.054,0.16,4.03,5048000,10986719,1281947,44.845361,1.072165,?
data/beck-s,2,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0705,1750,194,80,114,0,41.237113,58.762887,0,0.399935,0.011731,0.106803,60.150847,108.176391,1151.135486,45782.714091,-44631.578605,5.933688,235.993372,-230.059684,462.773863,2.385432,7743.416284,0.75,3,0.015789,3,0.984211,187,0.25,1,0.5,0.75,0.6,0.602661,0.946053,0.772222,0.412371,0.009797,0.990203,0.587629,0.458155,0.412371,0.416395,0.414111,0.829755,0.441417,0.308188,0.412371,0.154,4.052,0.15,4.02,5048000,10986719,1281947,42.783505,1.082474,?
data/beck-s,3,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0706,1749,195,88,107,0,45.128205,54.871795,0,0.438736,0.011045,0.103856,56.62443,105.180621,1160.442424,36796.238702,-35635.796278,5.950987,188.69866,-182.747673,513.133364,2.631453,8588.612758,0.75,3,0.031414,6,0.968586,185,0.25,1,0.333333,0.75,0.461538,0.485454,0.943063,0.501389,0.451282,0.010801,0.989199,0.548718,0.506428,0.451282,0.447368,0.450649,0.865783,0.496755,0.397982,0.451282,0.155,4.063,0.15,4.03,5048000,10980482,1288184,45.128205,1.05641,?
data/beck-s,3,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0706,1749,195,78,117,0,40,60,0,0.385653,0.012086,0.109091,61.958419,110.467903,1166.291198,42633.175345,-41466.884147,5.980981,218.631668,-212.650688,454.44412,2.330483,7610.416908,0.5,2,0.026178,5,0.973822,186,0.5,2,0.285714,0.5,0.363636,0.361022,0.901832,0.301332,0.4,0.01414,0.98586,0.6,0.405094,0.4,0.3843,0.379154,0.843273,0.42821,0.345445,0.4,0.154,4.082,0.15,4.05,5048000,10980482,1288184,40,1.061538,?
data/beck-s,3,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0706,1749,195,88,107,0,45.128205,54.871795,0,0.438977,0.010986,0.103919,56.313726,105.222834,1168.773085,41812.183105,-40643.410019,5.993708,214.421452,-208.427744,509.234316,2.611458,8529.794543,0.25,1,0.015707,3,0.984293,188,0.75,3,0.25,0.25,0.25,0.234293,0.91034,0.211111,0.451282,0.010387,0.989613,0.548718,0.466703,0.451282,0.444516,0.440584,0.845873,0.479053,0.362723,0.451282,0.153,4.102,0.16,4.07,5048000,10980482,1288184,46.153846,1.061538,?
data/beck-s,3,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0706,1749,195,86,109,0,44.102564,55.897436,0,0.427274,0.01115,0.104628,57.189626,106.00904,1157.32644,43461.45256,-42304.126119,5.935007,222.879244,-216.944237,495.323595,2.540121,8288.077187,0.25,1,0.015707,3,0.984293,188,0.75,3,0.25,0.25,0.25,0.234293,0.75589,0.31052,0.441026,0.012114,0.987886,0.558974,0.489457,0.441026,0.437957,0.438682,0.84351,0.469344,0.348161,0.441026,0.156,4.066,0.15,4.04,5048000,10980482,1288184,45.128205,1.051282,?
data/beck-s,3,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20130417.0706,1750,194,78,116,0,40.206186,59.793814,0,0.389705,0.012021,0.107823,61.677756,109.295381,1143.625402,36891.856794,-35748.231392,5.894976,190.16421,-184.269234,447.374875,2.306056,7480.612148,0.25,1,0.047368,9,0.952632,181,0.75,3,0.1,0.25,0.142857,0.130228,0.858553,0.205082,0.402062,0.009159,0.990841,0.597938,0.489469,0.402062,0.41161,0.417055,0.84921,0.464871,0.321775,0.402062,0.154,4.049,0.15,4.02,5048000,10986719,1281947,40.721649,1.123711,?
