@relation InstanceResultListener

@attribute Key_Dataset {data/beck-s}
@attribute Key_Run {1,2,3,4,5}
@attribute Key_Fold {1,2,3,4,5}
@attribute Key_Scheme {weka.classifiers.functions.SMO}
@attribute Key_Scheme_options {'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 0.01\"'}
@attribute Key_Scheme_version_ID {-6585883636378691736}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

data/beck-s,1,1,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 0.01\"',-6585883636378691736,20130417.1556,1555,389,66,323,0,16.966581,83.033419,0,0.099124,0.019683,0.099082,100.95192,100.397801,2299.636723,3436.98055,-1137.343827,5.911663,8.835426,-2.923763,106.437095,0.273617,1777.859179,0,0,0,0,1,381,1,8,0,0,0,0,0.856299,0.196774,0.169666,0.074281,0.925719,0.830334,0.136734,0.169666,0.101715,0.101079,0.773203,0.204182,0.029212,0.169666,23.829,166.799,23.39,166.47,19975907,9770504,2498162,96.915167,78,?
data/beck-s,1,2,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 0.01\"',-6585883636378691736,20130417.16,1555,389,68,321,0,17.48072,82.51928,0,0.102534,0.019682,0.099073,100.964738,100.417007,2289.759217,2370.471405,-80.712188,5.88627,6.093757,-0.207486,102.610987,0.263781,1712.291487,0,0,0,0,1,381,1,8,0,0,0,0,0.787566,0.117104,0.174807,0.076329,0.923671,0.825193,0.138515,0.174807,0.098756,0.099253,0.787612,0.198171,0.02859,0.174807,23.342,167.856,22.89,167.54,19975907,9770504,2498162,97.429306,78,?
data/beck-s,1,3,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 0.01\"',-6585883636378691736,20130417.1603,1555,389,68,321,0,17.48072,82.51928,0,0.104548,0.019685,0.09909,100.95627,100.401708,2300.995957,2382.974696,-81.978738,5.915157,6.125899,-0.210742,101.244764,0.260269,1691.480134,0,0,0,0,1,381,1,8,0,0,0,0,0.805774,0.065248,0.174807,0.074197,0.925803,0.825193,0.136503,0.174807,0.104346,0.104054,0.775201,0.2,0.029257,0.174807,24.115,167.186,23.67,166.94,19975907,9770504,2498162,97.172237,78,?
data/beck-s,1,4,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 0.01\"',-6585883636378691736,20130417.1606,1555,389,68,321,0,17.48072,82.51928,0,0.104683,0.019685,0.099092,100.944939,100.385511,2307.630455,3446.708931,-1139.078476,5.932212,8.860434,-2.928222,103.333866,0.26564,1727.538235,0,0,0,0,1,381,1,8,0,0,0,0,0.821522,0.075491,0.174807,0.074076,0.925924,0.825193,0.134851,0.174807,0.101132,0.102507,0.763777,0.196019,0.029507,0.174807,23.52,166.962,23.07,166.65,19975907,9770504,2498162,95.886889,78,?
data/beck-s,1,5,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 0.01\"',-6585883636378691736,20130417.1609,1556,388,70,318,0,18.041237,81.958763,0,0.111137,0.019684,0.099083,100.935964,100.376581,2298.246269,2372.107806,-73.861537,5.923315,6.11368,-0.190365,108.675525,0.280092,1816.132541,0,0,0,0,1,380,1,8,0,0,0,0,0.77352,0.106493,0.180412,0.073226,0.926774,0.819588,0.133722,0.180412,0.102982,0.106874,0.78133,0.214167,0.030436,0.180412,23.358,166.046,22.91,165.73,19987875,9776741,2491925,97.42268,78,?
data/beck-s,2,1,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 0.01\"',-6585883636378691736,20130417.1612,1555,389,69,320,0,17.737789,82.262211,0,0.105297,0.019683,0.099078,100.971951,100.425307,2291.515764,2376.7357,-85.219936,5.890786,6.10986,-0.219074,101.716424,0.261482,1697.720892,0,0,0,0,1,381,1,8,0,0,0,0,0.697343,0.077872,0.177378,0.07634,0.92366,0.822622,0.141488,0.177378,0.101639,0.101699,0.765215,0.194563,0.029716,0.177378,23.587,168.603,23.13,168.35,19975907,9770504,2498162,97.429306,78,?
data/beck-s,2,2,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 0.01\"',-6585883636378691736,20130417.1616,1555,389,67,322,0,17.22365,82.77635,0,0.101417,0.019684,0.099085,100.953455,100.398936,2298.765525,2377.08462,-78.319095,5.909423,6.110757,-0.201334,104.047638,0.267475,1737.778542,0,0,0,0,1,381,1,8,0,0,0,0,0.705381,0.089368,0.172237,0.074556,0.925444,0.827763,0.137275,0.172237,0.099297,0.10141,0.778956,0.202646,0.028561,0.172237,23.424,167.771,22.97,167.45,19975907,9770504,2498162,97.429306,78,?
data/beck-s,2,3,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 0.01\"',-6585883636378691736,20130417.1619,1555,389,66,323,0,16.966581,83.033419,0,0.098982,0.019684,0.099088,100.94926,100.393359,2301.354294,2381.015233,-79.660939,5.916078,6.120862,-0.204784,101.993957,0.262195,1704.02678,0,0,0,0,1,381,1,8,0,0,0,0,0.839731,0.138079,0.169666,0.074665,0.925335,0.830334,0.183564,0.169666,0.098506,0.106182,0.773817,0.215058,0.031035,0.169666,23.564,168.138,23.06,167.82,19975907,9770504,2498162,96.658098,78,?
data/beck-s,2,4,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 0.01\"',-6585883636378691736,20130417.1622,1555,389,68,321,0,17.48072,82.51928,0,0.104753,0.019686,0.099094,100.938173,100.37631,2310.572504,2387.402682,-76.830178,5.939775,6.137282,-0.197507,105.218713,0.270485,1759.551023,0,0,0,0,1,381,1,8,0,0,0,0,0.847769,0.106658,0.174807,0.07406,0.92594,0.825193,0.134013,0.174807,0.105924,0.104668,0.79189,0.208762,0.029863,0.174807,23.508,167.181,23.05,166.93,19975907,9770504,2498162,95.886889,78,?
