@relation InstanceResultListener

@attribute Key_Dataset {data/beck-s}
@attribute Key_Run {1,2,3,4,5}
@attribute Key_Fold {1,2,3,4,5}
@attribute Key_Scheme {weka.classifiers.functions.SMO}
@attribute Key_Scheme_options {'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 2.0\"'}
@attribute Key_Scheme_version_ID {-6585883636378691736}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

data/beck-s,1,1,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 2.0\"',-6585883636378691736,20130417.1444,1555,389,185,204,0,47.557841,52.442159,0,0.456112,0.019633,0.098826,100.691107,100.13862,2299.636723,2259.938321,39.698402,5.911663,5.80961,0.102052,210.204598,0.540372,3511.127163,0.5,4,0.010499,4,0.989501,377,0.5,4,0.5,0.5,0.5,0.489501,0.964239,0.41687,0.475578,0.021208,0.978792,0.524422,0.485648,0.475578,0.459798,0.455541,0.909688,0.43035,0.362674,0.475578,25.188,97.214,24.83,97.02,18699793,9770504,2498162,98.971722,78,?
data/beck-s,1,2,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 2.0\"',-6585883636378691736,20130417.1446,1555,389,189,200,0,48.586118,51.413882,0,0.465898,0.01963,0.098814,100.70014,100.154024,2289.759217,2257.48053,32.278686,5.88627,5.803292,0.082979,205.995321,0.529551,3437.488003,0.25,2,0.018373,7,0.981627,374,0.75,6,0.222222,0.25,0.235294,0.218667,0.89895,0.156615,0.485861,0.022002,0.977998,0.514139,0.474526,0.485861,0.458918,0.454623,0.918291,0.452947,0.332071,0.485861,25.136,97.746,24.76,97.54,18699793,9770504,2498162,98.971722,78,?
data/beck-s,1,3,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 2.0\"',-6585883636378691736,20130417.1449,1555,389,210,179,0,53.984576,46.015424,0,0.522726,0.01963,0.098811,100.672612,100.119028,2300.995957,2256.991002,44.004955,5.915157,5.802033,0.113123,213.383883,0.548545,3564.970511,0.875,7,0.007874,3,0.992126,378,0.125,1,0.7,0.875,0.777778,0.777625,0.996391,0.855263,0.539846,0.019251,0.980749,0.460154,0.515142,0.539846,0.502442,0.502327,0.913951,0.477807,0.35405,0.539846,25.234,98.457,24.86,98.25,18699793,9770504,2498162,98.971722,78,?
data/beck-s,1,4,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 2.0\"',-6585883636378691736,20130417.1451,1555,389,210,179,0,53.984576,46.015424,0,0.522827,0.01963,0.098811,100.658392,100.100496,2307.630455,2258.467322,49.163132,5.932212,5.805829,0.126383,219.03775,0.563079,3661.878753,0.25,2,0.010499,4,0.989501,377,0.75,6,0.333333,0.25,0.285714,0.275829,0.954232,0.278402,0.539846,0.019104,0.980896,0.460154,0.567845,0.539846,0.517416,0.522627,0.925248,0.493207,0.431028,0.539846,25.145,97.462,24.76,97.26,18699793,9770504,2498162,98.457584,78,?
data/beck-s,1,5,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 2.0\"',-6585883636378691736,20130417.1453,1556,388,195,193,0,50.257732,49.742268,0,0.485032,0.019631,0.098818,100.666194,100.108135,2298.246269,2254.7853,43.460969,5.923315,5.811302,0.112013,213.273227,0.549673,3564.118483,0.5,4,0.010526,4,0.989474,376,0.5,4,0.5,0.5,0.5,0.489474,0.905428,0.423068,0.502577,0.01884,0.98116,0.497423,0.517614,0.502577,0.482009,0.482919,0.915405,0.449303,0.37796,0.502577,25.274,99.86,24.9,99.63,18710969,9776741,2491925,98.453608,78,?
data/beck-s,2,1,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 2.0\"',-6585883636378691736,20130417.1455,1555,389,209,180,0,53.727506,46.272494,0,0.520135,0.019629,0.098806,100.69445,100.149201,2291.515764,2257.02374,34.492024,5.890786,5.802118,0.088668,208.080489,0.534911,3473.014295,0.375,3,0.018373,7,0.981627,374,0.625,5,0.3,0.375,0.333333,0.319818,0.889928,0.288385,0.537275,0.018387,0.981613,0.462725,0.5196,0.537275,0.506028,0.50454,0.92402,0.481035,0.363237,0.537275,25.145,98.258,24.8,98.07,18699793,9770504,2498162,98.457584,78,?
data/beck-s,2,2,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 2.0\"',-6585883636378691736,20130417.1457,1555,389,200,189,0,51.413882,48.586118,0,0.495377,0.01963,0.098812,100.675014,100.121947,2298.765525,2258.794279,39.971246,5.909423,5.806669,0.102754,212.129563,0.54532,3542.936764,0.25,2,0,0,1,381,0.75,6,1,0.25,0.4,0.496109,0.91273,0.416649,0.514139,0.021134,0.978866,0.485861,0.535827,0.514139,0.48664,0.491489,0.924239,0.481807,0.371711,0.514139,25.132,97.932,24.77,97.77,18699793,9770504,2498162,98.714653,78,?
data/beck-s,2,3,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 2.0\"',-6585883636378691736,20130417.1459,1555,389,200,189,0,51.413882,48.586118,0,0.496697,0.019633,0.098829,100.686656,100.131633,2301.354294,2262.485895,38.868399,5.916078,5.816159,0.099919,208.301464,0.535479,3480.120622,0.5,4,0.007874,3,0.992126,378,0.5,4,0.571429,0.5,0.533333,0.525416,0.987205,0.521615,0.514139,0.019141,0.980859,0.485861,0.509763,0.514139,0.490627,0.487693,0.909236,0.453155,0.364544,0.514139,25.505,98.826,25.11,98.64,18699793,9770504,2498162,98.971722,78,?
data/beck-s,2,4,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 2.0\"',-6585883636378691736,20130417.1501,1555,389,194,195,0,49.871465,50.128535,0,0.480107,0.019633,0.098827,100.666669,100.1061,2310.572504,2265.099001,45.473503,5.939775,5.822877,0.116898,215.240094,0.553316,3599.416094,0.625,5,0.002625,1,0.997375,380,0.375,3,0.833333,0.625,0.714286,0.716778,0.964403,0.737955,0.498715,0.020361,0.979639,0.501285,0.522624,0.498715,0.475979,0.479728,0.910469,0.433106,0.376276,0.498715,25.347,98.004,24.98,97.85,18699793,9770504,2498162,98.200514,78,?
